ts,open,high,low,close,volume
1757838900000,4.4255,4.4284,4.4255,4.4273,1773.0
1757838960000,4.4273,4.4297,4.427,4.4289,3289.9
1757839020000,4.4289,4.4308,4.4289,4.4307,2071.5
1757839080000,4.4307,4.4314,4.4306,4.431,4112.4
1757839140000,4.431,4.431,4.4281,4.4309,6675.9
1757839200000,4.4309,4.4345,4.4309,4.4343,7016.8
1757839260000,4.4343,4.4343,4.432,4.432,661.9
1757839320000,4.4319,4.4348,4.4319,4.4339,4968.4
1757839380000,4.4339,4.4339,4.4323,4.4339,289.3
1757839440000,4.4376,4.4394,4.4375,4.4394,2374.2
1758067320000,4.2488,4.2488,4.2454,4.2456,7146.6
1758067380000,4.2456,4.2461,4.2451,4.2455,1054.8
1758067440000,4.2455,4.2515,4.2452,4.2512,4911.0
1758067500000,4.2512,4.2518,4.249,4.249,1113.4
1758067560000,4.249,4.2511,4.2472,4.2472,2009.7
1758067620000,4.2472,4.2478,4.2456,4.2456,7295.7
1758067680000,4.2456,4.2465,4.244,4.2465,2248.1
1758067740000,4.2465,4.2488,4.2456,4.2486,862.5
1758067800000,4.2486,4.2499,4.2486,4.2488,3236.1
1758067860000,4.2488,4.2502,4.2453,4.2453,25904.5
1758067920000,4.2453,4.2453,4.2396,4.241,23622.5
1758067980000,4.241,4.2411,4.2355,4.2405,21163.7
1758068040000,4.2405,4.2433,4.2405,4.2424,2918.3
1758068100000,4.2424,4.2478,4.2424,4.2478,9700.0
1758068160000,4.2478,4.2507,4.2476,4.2476,3692.7
1758068220000,4.2476,4.2508,4.2469,4.2477,2746.2
1758068280000,4.2477,4.2496,4.2445,4.2496,2230.6
1758068340000,4.2496,4.2532,4.2481,4.2522,4954.4
1758068400000,4.2522,4.2522,4.2485,4.2502,3804.3
1758068460000,4.2502,4.2523,4.2502,4.2514,19745.6
1758068520000,4.2514,4.2523,4.2505,4.251,5546.3
1758068580000,4.251,4.2531,4.251,4.2526,2748.8
1758068640000,4.2526,4.2526,4.2477,4.248,942.7
1758068700000,4.248,4.2512,4.2472,4.2512,643.0
1758068760000,4.2512,4.2516,4.2479,4.2479,2312.4
1758068820000,4.2479,4.2504,4.2475,4.2504,322.0
1758068880000,4.2504,4.2507,4.2476,4.2476,4433.6
1758068940000,4.2476,4.2476,4.2448,4.2448,934.6
1758069000000,4.2448,4.2472,4.2426,4.246,2891.3
1758069060000,4.246,4.246,4.2444,4.2453,1992.4
1758069120000,4.2453,4.2504,4.2426,4.2504,1814.0
1758069180000,4.2504,4.2516,4.2493,4.2502,2201.6
1758069240000,4.2502,4.2508,4.2474,4.248,1304.4
1758069300000,4.248,4.2492,4.2456,4.2492,294.9
1758069360000,4.2492,4.2543,4.2492,4.2507,1282.8
1758069420000,4.2507,4.2523,4.2472,4.2472,1481.0
1758069480000,4.2472,4.2489,4.2472,4.2489,361.8
1758069540000,4.2489,4.2492,4.2477,4.2478,167.7
1758069600000,4.2478,4.2512,4.2478,4.2512,193.5
1758069660000,4.2512,4.2532,4.2512,4.2531,856.6
1758069720000,4.2531,4.2545,4.2531,4.2533,1834.2
1758069780000,4.2533,4.2535,4.2526,4.2534,3008.4
1758069840000,4.2534,4.2548,4.2532,4.2532,3283.7
1758069900000,4.2532,4.2548,4.2504,4.2509,587.1
1758069960000,4.2509,4.2514,4.2481,4.2481,331.8
1758070020000,4.2481,4.2488,4.2469,4.2476,247.8
1758070080000,4.2476,4.2478,4.2464,4.2465,371.9
1758070140000,4.2465,4.2499,4.2465,4.248,345.3
1758070200000,4.248,4.248,4.2457,4.2464,3578.3
1758070260000,4.2464,4.2464,4.2421,4.2427,1291.0
1758070320000,4.2427,4.243,4.2402,4.2415,2587.9
1758070380000,4.2415,4.2464,4.2415,4.2464,2324.2
1758070440000,4.2464,4.2485,4.246,4.248,20754.9
1758070500000,4.248,4.248,4.2461,4.2472,3908.1
1758070560000,4.2472,4.2472,4.2461,4.2466,363.6
1758070620000,4.2466,4.2471,4.246,4.246,262.0
1758070680000,4.246,4.246,4.2428,4.2428,1019.5
1758070740000,4.2428,4.2428,4.2416,4.2426,2487.8
1758070800000,4.2426,4.2438,4.2426,4.2429,2946.3
1758070860000,4.2429,4.2459,4.2429,4.2448,1972.0
