ts,open,high,low,close,volume
1757554320000,225.02,225.09,224.98,225.07,978.3
1757554380000,225.07,225.13,225.07,225.13,905.3
1757554440000,225.13,225.23,225.1,225.2,3293.5
1757554500000,225.2,225.3,225.16,225.27,4807.7
1757554560000,225.27,225.49,225.18,225.43,19733.8
1757554620000,225.43,225.43,225.21,225.25,6028.3
1757554680000,225.25,225.3,225.21,225.21,7111.1
1757554740000,225.21,225.21,225.08,225.09,11084.8
1757554800000,225.09,225.38,225.08,225.32,10360.4
1757554860000,225.32,225.43,225.32,225.36,10443.0
1757554920000,225.36,225.43,225.33,225.4,9441.2
1757554980000,225.4,225.56,225.39,225.5,19475.0
1757555040000,225.5,225.58,225.47,225.47,16588.4
1757555100000,225.47,225.47,225.31,225.35,4394.9
1757555160000,225.35,225.36,225.16,225.29,2643.0
1757555220000,225.29,225.3,225.25,225.27,2837.8
1757555280000,225.27,225.37,225.25,225.37,1580.8
1757555340000,225.37,225.37,224.91,225.04,5925.6
1757555400000,225.04,225.08,224.92,224.93,3477.9
1757555460000,224.93,224.97,224.83,224.96,2123.4
1757555520000,224.96,224.97,224.79,224.88,1427.7
1757555580000,224.88,224.89,224.73,224.78,2672.9
1757555640000,224.78,224.94,224.78,224.84,8923.8
1757555700000,224.84,224.93,224.84,224.9,2140.2
1757555760000,224.9,225.01,224.87,224.87,4650.8
1757555820000,224.87,224.97,224.83,224.95,2330.6
1757555880000,224.95,224.96,224.82,224.83,2475.9
1757555940000,224.83,224.84,224.7,224.73,4008.8
1757556000000,224.73,224.83,224.66,224.67,1312.0
1757556060000,224.67,224.8,224.6,224.8,3551.8
1757556120000,224.8,224.94,224.69,224.87,5660.3
1757556180000,224.87,224.9,224.64,224.64,1682.4
1757556240000,224.64,224.64,224.64,224.64,0.0
1757556300000,224.59,224.69,224.53,224.68,2009.3
1757556360000,224.68,224.71,224.54,224.57,3310.8
1757556420000,224.57,224.77,224.57,224.62,1047.8
1757556480000,224.62,224.65,224.53,224.64,3786.2
1757556540000,224.64,224.96,224.64,224.85,5086.5
1757556600000,224.85,224.93,224.75,224.78,2631.5
1757556660000,224.78,224.78,224.51,224.63,7120.5
1757556720000,224.63,224.74,224.61,224.74,1699.5
1757556780000,224.74,224.81,224.7,224.71,639.3
1757556840000,224.71,224.78,224.68,224.72,921.2
1757556900000,224.72,224.72,224.44,224.52,4398.7
