ts,open,high,low,close,volume
1757556600000,0.8885,0.889,0.8884,0.8885,116202.0
1757556660000,0.8885,0.8885,0.8879,0.8879,135883.0
1757556720000,0.8879,0.8888,0.8879,0.8887,6963.0
1757556780000,0.8887,0.889,0.8885,0.889,25820.0
1757556840000,0.889,0.889,0.8887,0.8887,1477.0
1757556900000,0.8887,0.8887,0.8877,0.8881,45787.0
1757556960000,0.8881,0.8883,0.8871,0.8872,31940.0
1757557020000,0.8872,0.8885,0.8871,0.8881,600562.0
1757557080000,0.8881,0.8881,0.8877,0.8878,7360.0
1757557140000,0.8878,0.8879,0.8873,0.8876,215341.0
1757557200000,0.8876,0.8878,0.8873,0.8875,14183.0
1757557260000,0.8875,0.8878,0.8874,0.8875,57435.0
1757557320000,0.8875,0.8877,0.8873,0.8873,189119.0
1757557380000,0.8873,0.8875,0.8868,0.8868,945025.0
1757557440000,0.8868,0.8869,0.8868,0.8869,5896.0
1757557500000,0.8864,0.8865,0.8864,0.8864,8316.0
1757557560000,0.8866,0.8867,0.8866,0.8867,11458.0
1757557620000,0.8864,0.8864,0.8864,0.8864,0.0
1757557680000,0.8873,0.8875,0.8873,0.8875,34167.0
1757557740000,0.8872,0.8872,0.8869,0.8869,2209.0
1757557800000,0.8867,0.8867,0.8864,0.8864,4991.0
1757557860000,0.8865,0.8866,0.8863,0.8863,5950.0
1757557920000,0.886,0.886,0.8854,0.8856,109271.0
1757557980000,0.886,0.886,0.8856,0.8859,7959.0
1757558040000,0.8863,0.8871,0.8863,0.8871,37237.0
1757558100000,0.8869,0.887,0.8867,0.8867,12277.0
1757558160000,0.8868,0.8875,0.8868,0.8871,56276.0
1757558220000,0.8874,0.8874,0.8871,0.8872,46468.0
1757634120000,0.893,0.8933,0.8929,0.8932,78914.0
1757634180000,0.8932,0.8942,0.8932,0.8942,103515.0
1757634240000,0.8942,0.8942,0.894,0.8942,43601.0
1757634300000,0.8942,0.8942,0.8939,0.8939,305170.0
1757634360000,0.8939,0.8943,0.893,0.8942,180592.0
1757634420000,0.8942,0.8943,0.8935,0.894,68946.0
1757634480000,0.894,0.8941,0.8928,0.8928,18553.0
1757634540000,0.8928,0.8932,0.8928,0.8932,225907.0
1757634600000,0.8932,0.8934,0.8927,0.8933,132166.0
1757634660000,0.8933,0.8935,0.8927,0.8934,63691.0
1757634720000,0.8934,0.8942,0.8932,0.8932,827147.0
1757634780000,0.8932,0.8939,0.8932,0.8938,63641.0
1757634840000,0.8938,0.8941,0.8937,0.8941,115157.0
1757634900000,0.8941,0.8941,0.8937,0.8938,51007.0
1757634960000,0.8938,0.894,0.8937,0.894,84252.0
1757635020000,0.894,0.8941,0.8937,0.8937,69365.0
1757635080000,0.8937,0.894,0.8937,0.8937,98843.0
1757635140000,0.8937,0.8942,0.8937,0.8937,114115.0
1757635200000,0.8937,0.8945,0.8934,0.8939,799722.0
1757635260000,0.8939,0.8942,0.8935,0.8942,720048.0
1757635320000,0.8942,0.8945,0.8929,0.8932,419898.0
1757635380000,0.8932,0.8934,0.8928,0.893,213574.0
1757635440000,0.893,0.8935,0.8929,0.8932,272363.0
1757635500000,0.8932,0.8934,0.8927,0.8928,70971.0
1757635560000,0.8928,0.893,0.8919,0.8921,522344.0
1757635620000,0.8921,0.8926,0.8921,0.8925,41069.0
1757635680000,0.8925,0.8927,0.8922,0.8923,66824.0
1757635740000,0.8923,0.8932,0.8923,0.893,61671.0
1757635800000,0.893,0.8933,0.8927,0.893,110625.0
1757635860000,0.893,0.8931,0.892,0.8922,83981.0
1757635920000,0.8922,0.8923,0.8915,0.8918,722015.0
1757635980000,0.8918,0.8921,0.8914,0.8919,110163.0
1757636040000,0.8919,0.8919,0.8909,0.8911,129774.0
1757636100000,0.8911,0.8918,0.8911,0.8912,217796.0
1757636160000,0.8912,0.8921,0.891,0.8915,69668.0
1757636220000,0.8915,0.8917,0.8912,0.8915,46354.0
1757636280000,0.8915,0.8916,0.8912,0.8914,30329.0
1757636340000,0.8914,0.8916,0.891,0.8911,60729.0
1757636400000,0.8911,0.8918,0.8911,0.8918,149481.0
1757636460000,0.8918,0.893,0.8917,0.8928,392363.0
1757636520000,0.8928,0.8937,0.8928,0.8935,554724.0
1757636580000,0.8935,0.8948,0.8935,0.8942,204205.0
1757636640000,0.8942,0.8944,0.8939,0.8943,40459.0
1757636700000,0.8943,0.8944,0.8941,0.8941,26112.0
1757636760000,0.8941,0.8959,0.8941,0.8957,355515.0
1757636820000,0.8957,0.8957,0.8951,0.8951,50541.0
1757636880000,0.8951,0.8952,0.8944,0.8945,84607.0
1757636940000,0.8945,0.8952,0.8944,0.8952,81483.0
1757637000000,0.8952,0.8957,0.8951,0.8955,90427.0
1757637060000,0.8955,0.8968,0.8955,0.8965,142118.0
1757637120000,0.8965,0.8972,0.8962,0.8962,63403.0
1757637180000,0.8962,0.8964,0.8951,0.8958,1087439.0
1757637240000,0.8958,0.8967,0.8957,0.8965,332029.0
1757637300000,0.8965,0.8972,0.8964,0.8965,127899.0
1757637360000,0.8965,0.8972,0.8964,0.8967,211585.0
1757637420000,0.8967,0.897,0.8966,0.8967,48507.0
1757637480000,0.8967,0.8969,0.8963,0.8969,63630.0
1757637540000,0.8969,0.8972,0.8963,0.897,317036.0
1757637600000,0.897,0.8979,0.897,0.8974,500309.0
1757637660000,0.8974,0.8984,0.8973,0.8983,169334.0
