Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,509.48128850000000000000,OPEN,2025-07-01 08:19:35
USDT,ETHUSDT,TRADE,BUY,0.02000000000000000000,0.00000000000000000000,2773.34000000000000000000,0.00000000000000000000,-0.03050674000000000000,-0.35000000000000000000,-0.38050674000000000000,509.59656850000000000000,CLOSE,2025-07-01 08:19:33
USDT,ETHUSDT,TRADE,BUY,0.03000000000000000000,-0.02000000000000000000,2767.50000000000000000000,0.00000000000000000000,-0.04566375000000000000,-0.34980000000000000000,-0.39546375000000000000,509.97707524000000000000,CLOSE,2025-07-01 08:19:33
USDT,ETHUSDT,TRADE,BUY,0.01000000000000000000,-0.05000000000000000000,2763.75000000000000000000,0.00000000000000000000,-0.01520063000000000000,-0.07910000000000000000,-0.09430063000000000000,510.37253899000000000000,CLOSE,2025-07-01 08:19:33
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2755.84000000000000000000,0.00000000000000000000,-0.09094272000000000000,0.00000000000000000000,-0.09094272000000000000,510.46683962000000000000,OPEN,2025-07-01 08:19:32
USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00000000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.11542674000000000000,-0.26680000000000000000,-0.38222674000000000000,510.55778234000000000000,CLOSE,2025-07-01 08:19:27
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,510.94000908000000000000,OPEN,2025-07-01 08:19:26
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2761.67000000000000000000,0.00000000000000000000,-0.09113511000000000000,-0.70020000000000000000,-0.79133511000000000000,511.05528908000000000000,CLOSE,2025-07-01 08:19:24
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2750.00000000000000000000,0.00000000000000000000,-0.09075000000000000000,0.00000000000000000000,-0.09075000000000000000,511.84662419000000000000,OPEN,2025-07-01 08:19:23
USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00000000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.11542674000000000000,-0.26680000000000000000,-0.38222674000000000000,511.93737419000000000000,CLOSE,2025-07-01 08:19:18
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,512.31960093000000000000,OPEN,2025-07-01 08:19:17
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2761.67000000000000000000,0.00000000000000000000,-0.09113511000000000000,-0.70020000000000000000,-0.79133511000000000000,512.43488093000000000000,CLOSE,2025-07-01 08:19:15
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2750.00000000000000000000,0.00000000000000000000,-0.09075000000000000000,0.00000000000000000000,-0.09075000000000000000,513.22621604000000000000,OPEN,2025-07-01 08:19:14
USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00000000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.11542674000000000000,-0.26680000000000000000,-0.38222674000000000000,513.31696604000000000000,CLOSE,2025-07-01 08:19:09
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,513.69919278000000000000,OPEN,2025-07-01 08:19:08
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2755.84000000000000000000,0.00000000000000000000,-0.09094272000000000000,-0.70020000000000000000,-0.79114272000000000000,513.81447278000000000000,CLOSE,2025-07-01 08:19:06
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2744.17000000000000000000,0.00000000000000000000,-0.09055761000000000000,0.00000000000000000000,-0.09055761000000000000,514.60561550000000000000,OPEN,2025-07-01 08:19:05
USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00000000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.11542674000000000000,-0.26680000000000000000,-0.38222674000000000000,514.69617311000000000000,CLOSE,2025-07-01 08:19:00
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,515.07839985000000000000,OPEN,2025-07-01 08:18:59
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2750.00000000000000000000,0.00000000000000000000,-0.09075000000000000000,-0.69960000000000000000,-0.79035000000000000000,515.19367985000000000000,CLOSE,2025-07-01 08:18:57
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2738.34000000000000000000,0.00000000000000000000,-0.09036522000000000000,0.00000000000000000000,-0.09036522000000000000,515.98402985000000000000,OPEN,2025-07-01 08:18:56
USDT,AAVEUSDT,TRADE,SELL,0.67000000000000000000,-1.34000000000000000000,261.56000000000000000000,0.00000000000000000000,-0.03504904000000000000,0.00000000000000000000,-0.03504904000000000000,516.07439507000000000000,OPEN,2025-07-01 08:18:51
USDT,AAVEUSDT,TRADE,SELL,0.67000000000000000000,-0.67000000000000000000,258.45000000000000000000,0.00000000000000000000,-0.09523883000000000000,0.00000000000000000000,-0.09523883000000000000,516.10944411000000000000,OPEN,2025-07-01 08:18:50
USDT,BTCUSDT,TRADE,BUY,0.00100000000000000000,0.00000000000000000000,104990.00000000000000000000,0.00000000000000000000,-0.05774450000000000000,-0.22250000000000000000,-0.28024450000000000000,516.20468294000000000000,CLOSE,2025-07-01 08:18:48
USDT,BTCUSDT,TRADE,BUY,0.00100000000000000000,-0.00100000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.05771337000000000000,-0.16590000000000000000,-0.22361337000000000000,516.48492744000000000000,CLOSE,2025-07-01 08:18:48
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104767.50000000000000000000,0.00000000000000000000,-0.11524425000000000000,0.00000000000000000000,-0.11524425000000000000,516.70854081000000000000,OPEN,2025-07-01 08:18:47
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2750.00000000000000000000,0.00000000000000000000,-0.09075000000000000000,-0.68480000000000000000,-0.77555000000000000000,516.82378506000000000000,CLOSE,2025-07-01 08:18:45
USDT,ETHUSDT,TRADE,SELL,0.05000000000000000000,-0.06000000000000000000,2738.34000000000000000000,0.00000000000000000000,-0.07530435000000000000,0.00000000000000000000,-0.07530435000000000000,517.59933506000000000000,OPEN,2025-07-01 08:18:44
USDT,ETHUSDT,TRADE,SELL,0.01000000000000000000,-0.01000000000000000000,2739.82000000000000000000,0.00000000000000000000,-0.01506901000000000000,0.00000000000000000000,-0.01506901000000000000,517.67463941000000000000,OPEN,2025-07-01 08:18:44
